word,gender,translation,plural ending
Umgebung,f,environment,-en
Auto,n,car,-s
Flut,f,flood,-en
Zeit,f,time,-en
Projekt,n,project,-e
Tag,m,day,-e
Woche,f,week,-n
Monat,m,month,-e
Jahr,n,year,-e
Mal,n,"times, ie. one time",-e
Regierung,f,government,-en
Ritter,m,knight,-
Akku,m,battery,-s
Mehrheit,f,majority,-en
Empfänger,m,receiver,-
Stunde,f,hour,-n
Minute,f,minute,-n
Abenteuer,n,adventure,-
Abfall,m,waste,⸚e
Abfahrt,f,departure,-en
Ankunft,f,arrival,⸚e
Sekunde,f,second,-n
Morgen,m,morning,-
Vormittag,m,before noon,-e
Mittag,m,noon,-e
Nachmittag,m,afternoon,-e
Abend,m,evening,-e
Nacht,f,night,⸚e
Mitternacht,f,midnight,⸚e
Aufgabe,f,task,-n
Anzeige,f,"announcement, advertisement",-n
Aussage,f,statement,-n
Behörde,f,authority,-n
Ereignis,n,event,-se
Zeitung,f,newspaper,-en
Anlage,f,technical installation,-n
Stand,m,"status, stand",⸚e
Angebot,n,offer,-e
Beispiel,n,example,-e
Lösung,f,solution,-en
Modul,n,module,-e
Präsentation,f,presentation,-en
Punkt,m,point,-e
Meldung,f,"report, message",-en
Universität,f,university,-en
Schule,f,school,-n
Rat,m,council,⸚e
Vogel,m,bird,⸚
Schaf,n,sheep,-e
Katze,f,cat,-n
Hund,m,dog,-e
Fish,m,fish,-e
Biene,f,bee,-n
Maus,f,mouse,⸚e
Schwein,n,pig,-e
Frühling,m,Spring,-e
Sommer,m,Summer,-
Herbst,m,Autumn,-e
Winter,m,Winter,-
Wochenende,n,weekend,-n
Montag,m,Monday,-e
Dienstag,m,Tuesday,-e
Mittwoch,m,Wednesday,-e
Donnerstag,m,Thursday,-e
Freitag,m,Friday,-e
Samstag,m,Saturday,-e
Sonntag,m,Sunday,-e
Inhalt,m,content,-e
Handy,n,mobile,-s
Computer,m,computer,-
App,f,app,-s
Software,f,software,-s
Fern­se­her,m,tv,-
Internet,n,Internet,
Notebook,n,notebook,-s
Laptop,m,laptop,-s
Entscheidung,f,decision,-en
Wissen,n,knowledge,
Partner,m,partner,-
Ding,n,thing,-e
Farbe,f,colour,-n
Dessert,n,dessert,-s
Käse,m,cheese,-
Frage,f,question,-n
Pause,f,pause,-n
Sprache,f,language,-n
Turm,m,tower,⸚e
Gefühl,n,feeling,-e
Kompetenz,f,competency,-en
Moment,n,moment,-e
Name,m,name,-n
Lösung,f,solution,-en
Sitte,f,"custom, ritual",-n
Änderung,f,change,-en
Maschine,f,machine,-n
Leistung,f,"effect, result, achievement",-en
Geschäft,n,"business, shop",-e
Arbeit,f,"work, job, labour",-en
Beitrag,m,contribution,⸚e
Raum,m,room,⸚e
Moment,n,moment,-e
Besitz,m,"posession, ownership",-e
Begriff,m,"term, notion, idea",-e
Pflicht,f,obligation,-en
Anteil,m,"share, portion",-e
Methode,f,method,-n
Bewohner,m,resident,-
Geld,n,money,-er
Spiel,n,"game, play",-e
Forschung,f,research,-en
Kraft,f,"force, power",⸚e
Zustand,m,"state, condition",⸚e
Fehler,m,"error, mistake",-
Job,m,job,-s
Wahrscheinlichkeit,f,probability,-en
Luft,f,air,⸚e
Schlag,m,"blow, shock, strike",⸚e
Zufall,m,"coincidence, accident, przypadek",⸚e
Zeug,n,"stuff, things",-e
Kaffee,m,coffee,-s
Cappuccino,m,cappuccino,-s
Brot,n,bread,-e
Bröt­chen,n,bun,-
Füller,m,fountain pen,-
Glück,n,luck,-e
Pech,n,bad luck,-s
Ziel,n,destination,-e
Reise,f,journey,-n
Richtung,f,direction,-en
Stress,m,stress,-e
Ent­span­nung,f,relaxation,-en
Menschheit,f,"mankind, humainty",
Teleskop,n,telescope,-e
Physik,f,physics,
Grund,m,"reason, cause, also ground",⸚e
Liebe,f,love,-n
Stadt,f,city,⸚e
Staat,m,country,-en
Neid,m,envy,
Mut,m,"courage, boldness",
Rache,f,"revenge, vengeance",
Aufregung,f,excitenment,-en
Gefahr,f,"danger, risk",-en
Stoff,m,"material, substance, fabric",-e
